,Occupancy,T_set_HP,T_ref_HP,T_wall_HP,T_out_HP,P_loss_HP,P_use_WB,P_loss_WB,T_set_WB,T_ref_WB,Water_use
2024-01-02 04:01:00,2.0,15.0,19.307203442070715,17.26899243866459,10.0,0.8205847187454024,0.0,0.0780205414537595,60.0,61.01027072687975,0.0
2024-01-02 04:02:00,2.0,15.0,19.304206765311978,17.268577569428015,10.0,0.8205847187454024,0.0,0.07800935838522816,60.0,61.00467919261408,0.0
2024-01-02 04:03:00,2.0,15.0,19.30121332348656,17.268159701571033,10.0,0.8205847187454024,0.0,0.0779981769196211,60.0,60.99908845981055,0.0
2024-01-02 04:04:00,2.0,15.0,19.29822310903921,17.267738843936865,10.0,0.8205847187454024,0.0,0.07798699705670858,60.0,60.993498528354294,0.0
2024-01-02 04:05:00,2.0,15.0,19.29523611443448,17.26731500534509,10.0,0.8205847187454024,0.0,0.07797581879626089,60.0,60.98790939813045,0.0
2024-01-02 04:06:00,1.0,20.0,19.29225233215669,17.266888194591697,10.0,0.8205847187454024,0.0,0.07796464213804835,60.0,60.982321069024174,0.0
2024-01-02 04:07:00,1.0,20.0,19.372185692503944,17.266458420449162,10.0,0.8205847187454024,0.0,0.07795346708184127,60.0,60.976733540920634,0.0
2024-01-02 04:08:00,1.0,20.0,19.452019211349207,17.26612733141897,10.0,0.8205847187454024,0.0,0.07794229362741004,60.0,60.97114681370502,0.0
2024-01-02 04:09:00,1.0,20.0,19.53175312910964,17.26589464458512,10.0,0.8205847187454024,0.0,0.07793112177452509,60.0,60.96556088726254,0.0
2024-01-02 04:10:00,1.0,20.0,19.61138768557009,17.265760077786528,10.0,0.8205847187454024,0.0,0.07791995152295682,60.0,60.95997576147841,0.0
2024-01-02 04:11:00,1.0,20.0,19.690923119884776,17.265723349615023,10.0,0.8205847187454024,0.0,0.07790878287247575,60.0,60.95439143623788,0.0
2024-01-02 04:12:00,1.0,20.0,19.77035967057896,17.26578417941335,10.0,0.8205847187454024,0.0,0.07789761582285237,60.0,60.94880791142619,0.0
2024-01-02 04:13:00,1.0,20.0,19.849697575550604,17.26594228727319,10.0,0.8205847187454024,0.0,0.07788645037385722,60.0,60.94322518692861,0.0
2024-01-02 04:14:00,1.0,20.0,19.928937072072042,17.26619739403315,10.0,0.8205847187454024,0.0,0.07787528652526086,60.0,60.93764326263043,0.0
2024-01-02 04:15:00,2.0,15.0,20.00807839679164,17.266549221276797,10.0,0.8205847187454024,0.0,0.07786412427683392,60.0,60.93206213841696,0.0
2024-01-02 04:16:00,1.0,20.0,20.004207847941355,17.266997491330677,10.0,0.8205847187454024,0.0,0.07785296362834704,60.0,60.92648181417352,0.0
2024-01-02 04:17:00,1.0,20.0,20.000342637577287,17.26744028750987,10.0,0.8205847187454024,0.0,0.07784180457957088,60.0,60.92090228978544,0.0
2024-01-02 04:18:00,1.0,20.0,19.996482752611914,17.267877625262596,10.0,0.8205847187454024,0.0,0.07783064713027615,60.0,60.915323565138074,0.0
2024-01-02 04:19:00,1.0,20.0,19.992628179992195,17.268309519995892,10.0,0.8205847187454024,0.0,0.07781949128023359,60.0,60.909745640116796,0.0
2024-01-02 04:20:00,1.0,20.0,19.988778906699473,17.268735987075743,10.0,0.8205847187454024,0.0,0.07780833702921397,60.0,60.90416851460699,0.0
2024-01-02 04:21:00,1.0,20.0,19.98493491974938,17.269157041827174,10.0,0.8205847187454024,0.0,0.0777971843769881,60.0,60.89859218849405,0.0
2024-01-02 04:22:00,1.0,20.0,19.98109620619176,17.26957269953437,10.0,0.8205847187454024,0.0,0.0777860333233268,60.0,60.8930166616634,0.0
2024-01-02 04:23:00,1.0,20.0,19.977262753110566,17.26998297544077,10.0,0.8205847187454024,0.0,0.07777488386800095,60.0,60.88744193400048,0.0
2024-01-02 04:24:00,1.0,20.0,19.973434547623764,17.270387884749194,10.0,0.8205847187454024,0.0,0.07776373601078146,60.0,60.88186800539073,0.0
2024-01-02 04:25:00,2.0,15.0,19.969611576883263,17.270787442621938,10.0,0.8205847187454024,0.0,0.07775258975143925,60.0,60.87629487571963,0.0
2024-01-02 04:26:00,2.0,15.0,19.96579382807481,17.27118166418088,10.0,0.8205847187454024,0.0,0.07774144508974531,60.0,60.870722544872656,0.0
2024-01-02 04:27:00,2.0,15.0,19.961981288417903,17.2715705645076,10.0,0.8205847187454024,0.0,0.07773030202547063,60.0,60.86515101273531,0.0
2024-01-02 04:28:00,2.0,15.0,19.958173945165704,17.27195415864347,10.0,0.8205847187454024,0.0,0.07771916055838622,60.0,60.85958027919311,0.0
2024-01-02 04:29:00,2.0,15.0,19.95437178560495,17.272332461589777,10.0,0.8205847187454024,0.0,0.07770802068826319,60.0,60.854010344131595,0.0
2024-01-02 04:30:00,2.0,15.0,19.950574797055854,17.272705488307814,10.0,0.8205847187454024,0.0,0.07769688241487262,60.0,60.84844120743631,0.0
2024-01-02 04:31:00,2.0,15.0,19.946782966872036,17.273073253719,10.0,0.8205847187454024,0.0,0.07768574573798563,60.0,60.84287286899281,0.0
2024-01-02 04:32:00,2.0,15.0,19.942996282440415,17.273435772704982,10.0,0.8205847187454024,0.0,0.0776746106573734,60.0,60.837305328686696,0.0
2024-01-02 04:33:00,2.0,15.0,19.939214731181135,17.273793060107728,10.0,0.8205847187454024,0.0,0.07766347717280712,60.0,60.83173858640356,0.0
2024-01-02 04:34:00,2.0,15.0,19.935438300547467,17.27414513072965,10.0,0.8205847187454024,0.0,0.07765234528405802,60.0,60.826172642029015,0.0
2024-01-02 04:35:00,2.0,15.0,19.931666978025724,17.2744919993337,10.0,0.8205847187454024,0.0,0.07764121499089739,60.0,60.8206074954487,0.0
2024-01-02 04:36:00,2.0,15.0,19.927900751135176,17.27483368064348,10.0,0.8205847187454024,0.0,0.07763008629309649,60.0,60.81504314654825,0.0
2024-01-02 04:37:00,1.0,20.0,19.92413960742796,17.275170189343328,10.0,0.8205847187454024,0.0,0.07761895919042668,60.0,60.80947959521334,0.0
2024-01-02 04:38:00,1.0,20.0,19.920383534488998,17.275501540078455,10.0,0.8205847187454024,0.0,0.0776078336826593,60.0,60.80391684132965,0.0
2024-01-02 04:39:00,1.0,20.0,19.9166325199359,17.27582774745502,10.0,0.8205847187454024,0.0,0.07759670976956574,60.0,60.798354884782874,0.0
2024-01-02 04:40:00,1.0,20.0,19.912886551418886,17.27614882604024,10.0,0.8205847187454024,0.0,0.07758558745091745,60.0,60.79279372545873,0.0
2024-01-02 04:41:00,1.0,20.0,19.9091456166207,17.276464790362514,10.0,0.8205847187454024,0.0,0.0775744667264859,60.0,60.78723336324295,0.0
2024-01-02 04:42:00,1.0,20.0,19.905409703256517,17.276775654911493,10.0,0.8205847187454024,0.0,0.07756334759604254,60.0,60.78167379802127,0.0
2024-01-02 04:43:00,1.0,20.0,19.90167879907386,17.277081434138207,10.0,0.8205847187454024,0.0,0.07755223005935892,60.0,60.77611502967946,0.0
2024-01-02 04:44:00,1.0,20.0,19.89795289185252,17.277382142455156,10.0,0.8205847187454024,0.0,0.07754111411620661,60.0,60.7705570581033,0.0
2024-01-02 04:45:00,1.0,20.0,19.89423196940446,17.27767779423642,10.0,0.8205847187454024,0.0,0.07752999976635716,60.0,60.76499988317858,0.0
2024-01-02 04:46:00,2.0,15.0,19.890516019573734,17.277968403817756,10.0,0.8205847187454024,0.0,0.07751888700958225,60.0,60.75944350479112,0.0
2024-01-02 04:47:00,2.0,15.0,19.886805030236413,17.278253985496693,10.0,0.8205847187454024,0.0,0.0775077758456535,60.0,60.75388792282675,0.0
2024-01-02 04:48:00,2.0,15.0,19.883098989300482,17.278534553532655,10.0,0.8205847187454024,0.0,0.07749666627434261,60.0,60.7483331371713,0.0
2024-01-02 04:49:00,2.0,15.0,19.879397884705764,17.278810122147032,10.0,0.8205847187454024,0.0,0.07748555829542128,60.0,60.74277914771064,0.0
2024-01-02 04:50:00,2.0,15.0,19.87570170442384,17.27908070552331,10.0,0.8205847187454024,0.0,0.07747445190866131,60.0,60.737225954330654,0.0
2024-01-02 04:51:00,2.0,15.0,19.872010436457956,17.27934631780715,10.0,0.8205847187454024,0.0,0.07746334711383446,60.0,60.73167355691723,0.0
