,WasherDryer,TumbleDryer,WashingMachine,BaseLoad,P_HP,P_WB
2024-01-01 20:15:00,0.001,0.001,0.001,0.047,0.0,0.3333333333333333
2024-01-01 20:30:00,0.001,0.001,0.001,0.047,3.2,0.0
2024-01-01 20:45:00,0.001,0.001,0.001,0.09866666666666667,0.0,0.0
2024-01-01 21:00:00,0.001,0.001,0.001,0.202,0.0,0.0
2024-01-01 21:15:00,0.001,0.001,0.001,0.19433333333333333,0.0,0.3333333333333333
2024-01-01 21:30:00,0.001,0.001,0.001,0.21166666666666664,0.0,0.0
2024-01-01 21:45:00,0.001,0.001,0.001,0.047,0.0,0.0
2024-01-01 22:00:00,0.001,0.001,0.001,0.047,0.0,0.0
2024-01-01 22:15:00,0.001,0.001,0.001,0.12966666666666668,0.0,0.0
2024-01-01 22:30:00,0.001,0.001,0.001,0.19166666666666668,0.0,0.3333333333333333
2024-01-01 22:45:00,0.001,0.001,0.001,0.19899999999999998,0.0,0.0
2024-01-01 23:00:00,0.001,0.001,0.001,0.18633333333333332,0.0,0.0
2024-01-01 23:15:00,0.001,0.001,0.001,0.047,0.0,0.0
2024-01-01 23:30:00,0.001,0.001,0.001,0.047,0.0,0.3333333333333333
2024-01-01 23:45:00,0.001,0.001,0.001,0.16066666666666668,0.0,0.0
