,WasherDryer,TumbleDryer,WashingMachine,BaseLoad,P_WB
2024-01-03 05:00:00,0.001,0.001,0.001,0.049,0.2
2024-01-03 05:15:00,0.001,0.001,0.001,0.049,0.2
2024-01-03 05:30:00,0.001,0.001,0.001,0.049,0.0
2024-01-03 05:45:00,0.001,0.001,0.001,0.16299999999999998,0.2
2024-01-03 06:00:00,0.6865634812499747,0.001,0.001,0.125,0.2
2024-01-03 06:15:00,0.7920347860576631,0.001,0.001,0.049,0.2
2024-01-03 06:30:00,0.7920347860576631,0.001,0.001,0.049,0.6
2024-01-03 06:45:00,0.7920347860576631,0.001,0.001,0.049,0.2
2024-01-03 07:00:00,0.7920347860576631,0.001,0.001,0.6327333333333333,1.6
2024-01-03 07:15:00,0.7920347860576631,0.001,0.001,0.18833333333333332,0.8
2024-01-03 07:30:00,0.7920347860576631,0.001,0.001,0.44880000000000003,0.4
2024-01-03 07:45:00,0.7920347860576631,0.001,0.001,0.049,0.8
2024-01-03 08:00:00,0.7920347860576631,0.001,0.001,1.3284666666666667,0.0
2024-01-03 08:15:00,0.7920347860576631,0.001,0.001,1.4996666666666665,0.2
2024-01-03 08:30:00,0.7920347860576631,0.001,0.001,0.23933333333333331,0.2
2024-01-03 08:45:00,0.7920347860576631,0.001,0.001,0.07466666666666667,0.2
2024-01-03 09:00:00,0.6865634812499747,0.001,0.001,0.06199999999999999,1.8
2024-01-03 09:15:00,0.001,0.001,0.001,0.05073333333333333,0.8
2024-01-03 09:30:00,0.001,0.001,0.001,0.049,0.2
2024-01-03 09:45:00,0.001,0.001,0.001,0.16299999999999998,0.4
2024-01-03 10:00:00,0.001,0.001,0.001,0.125,0.0
2024-01-03 10:15:00,0.001,0.001,0.001,0.049,1.0
2024-01-03 10:30:00,0.001,0.001,0.001,0.049,1.6
2024-01-03 10:45:00,0.001,0.001,0.001,0.049,0.2
2024-01-03 11:00:00,0.001,0.001,0.001,1.0325333333333333,1.0
2024-01-03 11:15:00,0.001,0.001,0.001,0.18833333333333332,0.4
2024-01-03 11:30:00,0.001,0.001,0.001,0.049,0.2
2024-01-03 11:45:00,0.001,0.001,0.001,0.049,0.0
2024-01-03 12:00:00,0.001,0.001,0.001,0.049,0.8
2024-01-03 12:15:00,0.001,0.001,0.001,0.08153333333333333,0.2
2024-01-03 12:30:00,0.001,0.001,0.001,0.34833333333333333,0.4
2024-01-03 12:45:00,0.001,0.001,0.001,0.1836666666666667,1.6
2024-01-03 13:00:00,0.001,0.001,0.001,0.171,0.4
2024-01-03 13:15:00,0.001,0.001,0.001,0.171,0.2
2024-01-03 13:30:00,0.001,0.001,0.001,0.07339999999999999,0.4
2024-01-03 13:45:00,0.001,0.001,0.001,0.16299999999999998,1.4
2024-01-03 14:00:00,0.001,0.001,0.001,0.125,0.2
2024-01-03 14:15:00,0.001,0.001,0.001,0.049,0.8
2024-01-03 14:30:00,0.001,0.001,0.001,0.049,0.0
2024-01-03 14:45:00,0.001,0.001,0.001,0.049,0.4
2024-01-03 15:00:00,0.001,0.001,0.001,0.09966666666666667,0.0
2024-01-03 15:15:00,0.001,0.001,0.001,0.18833333333333332,0.2
2024-01-03 15:30:00,0.001,0.001,0.001,0.5820666666666666,0.0
2024-01-03 15:45:00,0.001,0.001,0.001,0.049,1.0
2024-01-03 16:00:00,0.001,0.001,0.001,0.049,0.8
2024-01-03 16:15:00,0.001,0.001,0.001,0.16660666666666665,1.8
2024-01-03 16:30:00,0.001,0.001,0.001,0.3620333333333333,0.2
2024-01-03 16:45:00,0.001,0.001,0.001,0.19736666666666663,0.2
2024-01-03 17:00:00,0.001,0.001,0.001,0.18469999999999998,1.0
