,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_EV,P_WB
2024-01-02 11:45:00,0.001,0.0,0.001,0.10770666666666666,0.0,0.0
2024-01-02 12:00:00,0.001,0.0,0.001,0.051,0.0,0.0
2024-01-02 12:15:00,0.001,0.0,0.001,0.20299999999999999,0.0,0.0
2024-01-02 12:30:00,0.001,0.0,0.001,0.16233333333333333,0.0,0.0
2024-01-02 12:45:00,0.001,0.0,0.001,0.11653333333333334,2.3333333333333335,0.0
2024-01-02 13:00:00,0.001,0.0,0.001,0.06254725262744382,7.0,0.0
2024-01-02 13:15:00,0.001,0.0,0.001,0.19055219735291432,7.0,0.0
2024-01-02 13:30:00,0.001,0.0,0.001,0.32988553068624765,7.0,0.0
2024-01-02 13:45:00,0.001,0.0,0.001,0.2778855306862476,7.0,0.0
2024-01-02 14:00:00,0.001,0.0,0.001,0.31095219735291424,0.4666666666666667,0.0
2024-01-02 14:15:00,0.001,0.0,0.001,0.08151043947058285,0.0,0.0
2024-01-02 14:30:00,0.001,0.0,0.001,0.051,0.0,1.6
2024-01-02 14:45:00,0.001,0.0,0.001,0.17766666666666667,0.0,0.8
2024-01-02 15:00:00,0.001,0.0,0.001,0.10826666666666666,0.0,0.0
2024-01-02 15:15:00,0.001,0.0,0.001,0.148,0.0,0.0
2024-01-02 15:30:00,0.001,0.0,0.001,0.07466666666666666,0.0,0.0
2024-01-02 15:45:00,0.001,0.0,0.001,0.038,0.0,0.0
2024-01-02 16:00:00,0.001,0.0,0.001,0.15200000000000002,0.0,1.0
2024-01-02 16:15:00,0.001,0.0,0.001,0.114,0.0,2.0
2024-01-02 16:30:00,0.001,0.0,0.001,0.11133333333333333,0.0,0.0
2024-01-02 16:45:00,0.001,0.0,0.001,0.11133333333333333,0.0,1.2
2024-01-02 17:00:00,0.001,0.0,0.001,0.038,0.0,1.6
2024-01-02 17:15:00,0.001,0.0,0.001,0.13933333333333334,0.0,0.0
2024-01-02 17:30:00,0.001,0.0,0.001,0.12666666666666668,0.0,0.0
2024-01-02 17:45:00,0.001,0.0,0.001,0.07466666666666666,0.0,0.0
2024-01-02 18:00:00,0.001,0.0,0.001,0.148,0.0,0.0
2024-01-02 18:15:00,0.001,0.0,0.001,0.06113827805880382,0.0,1.4
2024-01-02 18:30:00,0.001,0.0,0.001,0.15821886401958096,0.0,1.6
2024-01-02 18:45:00,0.001,0.0,0.001,0.21928553068624762,0.0,0.0
2024-01-02 19:00:00,0.001,0.0,0.001,0.24961886401958097,0.0,0.0
2024-01-02 19:15:00,0.001,0.0,0.001,0.4345521973529143,0.0,0.0
2024-01-02 19:30:00,0.001,0.0,0.001,0.34018406578430477,0.0,0.0
2024-01-02 19:45:00,0.001,0.0,0.001,0.369,0.0,0.0
2024-01-02 20:00:00,0.001,0.0,0.001,0.3874,0.0,0.0
2024-01-02 20:15:00,0.001,0.0,0.001,0.16706666666666667,0.0,1.4
2024-01-02 20:30:00,0.001,0.0,0.001,0.28197886401958094,0.0,3.0
2024-01-02 20:45:00,0.001,0.0,0.001,0.415718864019581,0.0,3.0
2024-01-02 21:00:00,0.001,0.0,0.001,0.5105855306862476,0.0,3.0
2024-01-02 21:15:00,0.001,0.0,0.001,0.5739188640195809,0.0,3.0
2024-01-02 21:30:00,0.001,0.0,0.001,0.3381785710391924,0.0,3.0
2024-01-02 21:45:00,0.001,0.0,0.001,0.4523666666666667,0.0,3.0
2024-01-02 22:00:00,0.001,0.0,0.001,0.5257000000000001,0.0,3.0
2024-01-02 22:15:00,0.001,0.0,0.001,0.41796666666666665,0.0,2.0
2024-01-02 22:30:00,0.001,0.0,0.001,0.4340333333333333,0.0,0.0
2024-01-02 22:45:00,0.001,0.0,0.001,0.29469999999999996,0.0,0.0
2024-01-02 23:00:00,0.001,0.0,0.001,0.29469999999999996,0.0,0.0
2024-01-02 23:15:00,0.001,0.0,0.001,0.4047,0.0,0.0
2024-01-02 23:30:00,0.001,0.0,0.001,0.3693666666666667,0.0,0.0
2024-01-02 23:45:00,0.001,0.0,0.001,0.4467,0.0,0.0
2024-01-03 00:00:00,0.001,0.0,0.001,0.27049999999999996,0.0,0.0
2024-01-03 00:15:00,0.001,0.0,0.001,0.21403333333333333,0.0,1.2
2024-01-03 00:30:00,0.001,0.0,0.001,0.3680333333333333,0.0,2.0
2024-01-03 00:45:00,0.001,0.0,0.001,0.3933666666666667,0.0,0.0
2024-01-03 01:00:00,0.001,0.0,0.001,0.45936666666666665,0.0,0.0
2024-01-03 01:15:00,0.001,0.0,0.001,0.29469999999999996,0.0,0.0
2024-01-03 01:30:00,0.001,0.0,0.001,0.23016666666666666,0.0,0.0
2024-01-03 01:45:00,0.001,0.0,0.001,0.16513333333333333,0.0,0.0
2024-01-03 02:00:00,0.001,0.0,0.001,0.16066666666666668,0.0,2.8
2024-01-03 02:15:00,0.001,0.0,0.001,0.21533333333333332,0.0,0.0
2024-01-03 02:30:00,0.001,0.0,0.001,0.038,0.0,0.0
2024-01-03 02:45:00,0.001,0.0,0.001,0.038,0.0,0.0
2024-01-03 03:00:00,0.001,0.0,0.001,0.5710666666666666,0.0,0.0
2024-01-03 03:15:00,0.001,0.0,0.001,0.148,0.0,0.0
2024-01-03 03:30:00,0.001,0.0,0.001,0.26466666666666666,0.0,0.0
2024-01-03 03:45:00,0.001,0.0,0.001,0.038,0.0,0.0
