,Occupancy,T_set_HP,P_loss_HP,T_ref_HP,T_wall_HP,T_out_HP,T_ref_WB,P_use_WB,P_loss_WB,T_set_WB,SoC_ref_EV,SoC_arr_EV,EV_plugged,EV_arrival,EV_departure
2024-05-30 23:30:00,2.0,15.5,0.4176777131982667,21.56440729224505,18.79103953375111,10.26333,60.76592114064833,0.0,0.07737645309291238,60.0,0.7999999999999997,0.0,1,0,0
2024-05-30 23:45:00,2.0,15.5,0.4151626997543457,21.533559029002692,18.779360931017774,10.26333,60.599559918040526,0.0,0.07704439748946394,60.0,0.7999999999999997,0.0,1,0,0
2024-05-31 00:00:00,2.0,15.5,0.41591139674171623,21.502896402994597,18.767560775158294,9.825,60.43391262291267,0.0,0.07671376687927091,60.0,0.7999999999999997,0.0,1,0,0
2024-05-31 00:15:00,2.0,15.5,0.41388538742114994,21.47216077793139,18.753766463859318,9.825,60.268976191495234,0.0,0.07638455514707498,60.0,0.7999999999999997,0.0,1,0,0
2024-05-31 00:30:00,2.0,15.5,0.4116673566933863,21.4415912382526,18.7398795933414,9.825,60.104747573166605,0.0,0.07605675620386104,60.0,0.7999999999999997,0.0,1,0,0
2024-05-31 00:45:00,2.0,15.5,0.4094806714585779,21.4111854252628,18.72590287410671,9.825,59.94122373039672,0.0,0.07573036398674461,60.0,0.7999999999999997,0.0,1,0,0
2024-05-31 01:00:00,2.0,15.5,0.4145982437187036,21.38094102597159,18.711838959697747,8.836667,59.77840163869086,0.0,0.07540537245885962,60.0,0.7999999999999997,0.0,1,0,0
2024-05-31 01:15:00,2.0,15.5,0.41340591271074606,21.350278908249777,18.693460790977596,8.836667,59.61627828653373,0.0,0.07508177560924684,60.0,0.7999999999999997,0.0,1,0,0
2024-05-31 01:30:00,2.0,15.5,0.41172809065270743,21.31974210599683,18.67505135478547,8.836667,59.45485067533374,0.0,0.07475956745274259,60.0,0.7999999999999997,0.0,1,0,0
2024-05-31 01:45:00,2.0,15.5,0.41006945076306267,21.289329176806856,18.656612186058606,8.836667,59.294115819367505,0.0,0.0744387420298681,60.0,0.7999999999999997,0.0,1,0,0
2024-05-31 02:00:00,2.0,15.5,0.41176589364603433,21.259038705151657,18.63814478652368,8.383333,59.13407074572469,0.0,0.07421485002401508,60.0,0.7999999999999997,0.0,1,0,0
2024-05-31 02:15:00,2.0,15.5,0.4105727243899493,21.22860470273382,18.61771054316442,8.383333,60.407856304679285,0.0,0.07799706140385142,60.0,0.7999999999999997,0.0,1,0,0
2024-05-31 02:30:00,2.0,15.5,0.40916144085363887,21.198275908204984,18.597274270724334,8.383333,60.95683538909528,0.0,0.07775751632977261,60.0,0.7999999999999997,0.0,1,0,1
2024-05-31 02:45:00,2.0,15.5,0.40776345533321495,21.168051322408633,18.57683693745798,8.383333,60.78965487142496,0.0,0.07742382542025875,60.0,0.0,0.0,0,0,0
2024-05-31 03:00:00,2.0,15.5,0.40573096569534317,21.137929963975736,18.556399489871534,7.715,60.6231917971817,0.0,0.07709156652180113,60.0,0.0,0.0,0,0,0
2024-05-31 03:15:00,2.0,15.5,0.40464611944583967,21.107961277238335,18.53310451904834,7.715,60.45744308750749,0.0,0.07676073348902514,60.0,0.0,0.0,0,0,0
2024-05-31 03:30:00,2.0,15.5,0.40362405232827675,21.07806844172392,18.509849523760735,7.715,60.29240567675709,0.0,0.07643132020292849,60.0,0.0,0.0,0,0,0
2024-05-31 03:45:00,2.0,15.5,0.4026067715958213,21.048251099439902,18.48663465395046,7.715,60.12807651244119,0.0,0.07610332057076821,60.0,0.0,0.0,0,0,0
2024-05-31 04:00:00,1.0,16.3,0.25384683675712744,21.018508897044352,18.463460054372497,7.086667,59.96445255517006,0.0,0.07577672852594791,60.0,0.0,0.0,0,0,0
2024-05-31 04:15:00,1.0,21.5,0.2764825577267347,21.000533339440633,18.43768763909983,7.086667,59.801530778597304,0.0,0.07545153802790562,60.0,0.0,0.0,0,0,0
2024-05-31 04:30:00,2.0,19.9,0.35994851435670877,21.669309765708945,18.414781445375816,7.086667,59.639308169363865,0.0,0.07512774306200194,60.0,0.0,0.0,0,0,0
2024-05-31 04:45:00,1.0,18.7,0.37347741537116685,21.98727743527741,18.397745223634956,7.086667,59.47778172704231,0.0,0.07480533763940891,60.0,0.0,0.0,0,0,0
