,WasherDryer,TumbleDryer,DishWasher,BaseLoad,P_EV
2024-01-02 16:45:00,0.001,0.001,0.0,0.14921886401958098,0.0
2024-01-02 17:00:00,0.001,0.001,0.0,0.23156205086272003,0.0
2024-01-02 17:15:00,0.001,0.001,0.0,0.5302521973529143,0.0
2024-01-02 17:30:00,0.001,0.001,0.0,0.26911886401958096,0.0
2024-01-02 17:45:00,0.001,0.001,0.0,0.4644092730589211,0.0
2024-01-02 18:00:00,0.001,0.001,0.0,0.4996092730589211,0.0
2024-01-02 18:15:00,0.001,0.001,0.0,0.5895426063922545,0.0
2024-01-02 18:30:00,0.001,0.001,0.0,1.2464759397255878,0.0
2024-01-02 18:45:00,0.001,0.001,0.0,0.5622252072746164,0.0
2024-01-02 19:00:00,0.001,0.001,0.0,0.46997245990206016,0.0
2024-01-02 19:15:00,0.001,0.001,0.0,1.3512092730589211,0.0
2024-01-02 19:30:00,0.001,0.001,0.0,2.594275939725588,0.0
2024-01-02 19:45:00,0.001,0.001,0.0,0.6750759397255878,0.0
2024-01-02 20:00:00,0.001,0.001,0.0,0.5658759397255878,0.0
2024-01-02 20:15:00,0.001,0.001,0.0,0.4031426063922545,0.0
2024-01-02 20:30:00,0.001,0.001,0.0,0.3500759397255878,0.0
2024-01-02 20:45:00,0.001,0.001,0.0,2.4401426063922544,0.0
2024-01-02 21:00:00,0.001,0.001,0.0,1.596848101137367,0.0
2024-01-02 21:15:00,0.001,0.001,0.0,0.3711904090393402,0.0
2024-01-02 21:30:00,0.001,0.001,0.0,0.5261237423726736,0.0
2024-01-02 21:45:00,0.001,0.001,0.0,0.484765500255005,0.0
2024-01-02 22:00:00,0.001,0.001,0.0,0.5610759397255879,0.0
2024-01-02 22:15:00,0.001,0.001,0.0,1.1002092730589212,0.0
2024-01-02 22:30:00,0.001,0.001,0.0,0.6750759397255878,0.0
2024-01-02 22:45:00,0.001,0.001,0.0,0.9751426063922545,0.0
2024-01-02 23:00:00,0.001,0.001,0.0,0.7021759397255879,0.0
2024-01-02 23:15:00,0.001,0.001,0.0,0.22124260639225446,0.0
2024-01-02 23:30:00,0.001,0.001,0.0,0.3937759397255878,0.0
2024-01-02 23:45:00,0.001,0.001,0.0,0.21178361249411565,0.0
2024-01-03 00:00:00,0.001,0.001,0.0,0.3672188640195809,0.0
2024-01-03 00:15:00,0.001,0.001,0.0,0.30735627509287483,0.0
2024-01-03 00:30:00,0.001,0.001,0.0,0.40892722219620115,0.0
2024-01-03 00:45:00,0.001,0.001,0.0,0.8946237423726735,0.0
2024-01-03 01:00:00,0.001,0.001,0.0,0.4011570757060069,0.0
2024-01-03 01:15:00,0.001,0.001,0.0,0.1824040777399606,0.0
2024-01-03 01:30:00,0.001,0.001,0.0,0.31553333333333333,0.0
2024-01-03 01:45:00,0.001,0.001,0.0,0.211,0.0
2024-01-03 02:00:00,0.001,0.001,0.0,0.26766666666666666,0.0
2024-01-03 02:15:00,0.001,0.001,0.0,0.15166666666666667,0.0
2024-01-03 02:30:00,0.001,0.001,0.0,0.0526,0.0
2024-01-03 02:45:00,0.001,0.001,0.0,0.05,0.0
2024-01-03 03:00:00,0.001,0.001,0.0,0.266,0.0
2024-01-03 03:15:00,0.001,0.001,0.0,0.35333333333333333,0.0
2024-01-03 03:30:00,0.001,0.001,0.0,0.15133333333333335,0.0
2024-01-03 03:45:00,0.001,0.001,0.0,0.05,0.0
2024-01-03 04:00:00,0.001,0.001,0.0,0.05,0.0
2024-01-03 04:15:00,0.001,0.001,0.0,0.06266666666666668,0.0
2024-01-03 04:30:00,0.001,0.001,0.0,0.442,0.0
2024-01-03 04:45:00,0.001,0.001,0.0,0.266,0.0
2024-01-03 05:00:00,0.001,0.001,0.0,0.05,0.0
2024-01-03 05:15:00,0.001,0.001,0.0,0.05,0.0
2024-01-03 05:30:00,0.001,0.001,0.0,0.05,0.0
2024-01-03 05:45:00,0.001,0.001,0.0,0.25466666666666665,0.0
2024-01-03 06:00:00,0.001,0.001,0.0,0.37533333333333335,0.0
2024-01-03 06:15:00,0.001,0.001,0.0,0.30793333333333334,0.0
2024-01-03 06:30:00,0.001,0.001,0.0,1.311,0.0
2024-01-03 06:45:00,0.001,0.001,0.0,0.9782,0.0
2024-01-03 07:00:00,0.001,0.001,0.0,0.24033333333333334,0.0
2024-01-03 07:15:00,0.001,0.001,0.0,0.24933333333333335,0.0
2024-01-03 07:30:00,0.001,0.001,0.0,0.20133333333333334,0.0
2024-01-03 07:45:00,0.001,0.001,0.0,0.15133333333333335,0.0
2024-01-03 08:00:00,0.001,0.001,0.0,0.05,0.0
