,TumbleDryer,WashingMachine,BaseLoad
2024-01-04 10:45:00,0.001,0.001,0.6353805767229838
2024-01-04 11:00:00,0.001,0.001,0.45962374237267356
2024-01-04 11:15:00,0.001,0.001,0.0598237423726735
2024-01-04 11:30:00,0.001,0.001,0.0598237423726735
2024-01-04 11:45:00,0.001,0.001,0.07249040903934016
2024-01-04 12:00:00,0.001,0.001,0.24194124745755782
2024-01-04 12:15:00,0.001,0.001,0.12399999999999999
2024-01-04 12:30:00,0.001,0.001,0.048
2024-01-04 12:45:00,0.001,0.001,0.048
2024-01-04 13:00:00,0.001,0.001,0.048
2024-01-04 13:15:00,0.001,0.001,0.16199999999999998
2024-01-04 13:30:00,0.001,0.001,0.21266666666666667
2024-01-04 13:45:00,0.001,0.001,0.048
2024-01-04 14:00:00,0.001,0.001,0.048
2024-01-04 14:15:00,0.001,0.001,0.048
2024-01-04 14:30:00,0.001,0.001,0.07333333333333333
2024-01-04 14:45:00,0.001,0.001,0.7710666666666667
2024-01-04 15:00:00,0.001,0.001,0.11133333333333333
2024-01-04 15:15:00,0.001,0.001,0.048
2024-01-04 15:30:00,0.001,0.001,0.048
2024-01-04 15:45:00,0.001,0.001,0.048
2024-01-04 16:00:00,0.001,0.001,0.25533333333333336
2024-01-04 16:15:00,0.001,0.001,0.32099999999999995
2024-01-04 16:30:00,0.001,0.001,0.18113333333333334
2024-01-04 16:45:00,0.001,0.001,0.182
2024-01-04 17:00:00,0.001,0.001,0.19006666666666666
2024-01-04 17:15:00,0.001,0.001,0.26753333333333335
2024-01-04 17:30:00,0.001,0.001,0.359
2024-01-04 17:45:00,0.001,0.001,0.7527333333333334
2024-01-04 18:00:00,0.001,0.001,0.169
2024-01-04 18:15:00,0.001,0.001,0.15110599593209253
2024-01-04 18:30:00,0.001,0.001,0.11727040903934018
2024-01-04 18:45:00,0.001,0.001,0.7223904090393402
2024-01-04 19:00:00,0.001,0.001,2.1433237423726736
2024-01-04 19:15:00,0.001,0.001,3.9203724599020604
2024-01-04 19:30:00,0.001,0.001,2.1891071135110924
2024-01-04 19:45:00,0.001,0.001,0.3185620296692708
2024-01-04 20:00:00,0.001,0.001,0.41087593972558784
2024-01-04 20:15:00,0.001,0.001,0.5510759397255878
2024-01-04 20:30:00,0.001,0.001,0.38855854060794975
2024-01-04 20:45:00,0.001,0.001,0.2891904090393401
2024-01-04 21:00:00,0.001,0.001,0.27954724338965037
2024-01-04 21:15:00,0.001,0.001,0.33674871752938673
2024-01-04 21:30:00,0.001,0.001,0.49140519531896054
2024-01-04 21:45:00,0.001,0.001,0.47474260639225446
2024-01-04 22:00:00,0.001,0.001,0.3238759397255878
2024-01-04 22:15:00,0.001,0.001,0.2270759397255878
2024-01-04 22:30:00,0.001,0.1343270449307853,0.20183418184325636
2024-01-04 22:45:00,0.001,0.3980656350139567,0.33645672838306395
2024-01-04 23:00:00,0.001,0.7000993479286205,0.6391855306862476
2024-01-04 23:15:00,0.001,0.1361017319839218,0.4825855306862477
2024-01-04 23:30:00,0.001,0.2459531966181246,0.45725219735291434
2024-01-04 23:45:00,0.001,1.262108895437139,0.42106553068624764
2024-01-05 00:00:00,0.001,0.4280888661194665,0.26894523770585904
2024-01-05 00:15:00,0.001,0.11063258560186728,0.253
2024-01-05 00:30:00,0.001,0.2961313106793138,0.28300000000000003
2024-01-05 00:45:00,0.001,0.9065954028231974,0.169
2024-01-05 01:00:00,0.001,0.001,0.169
2024-01-05 01:15:00,0.001,0.001,0.169
