,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_EV,P_HP
2024-01-11 22:30:00,0.001,0.0,0.001,0.237,0.0,0.0
2024-01-11 22:45:00,0.001,0.0,0.001,0.17366666666666666,0.0,0.0
2024-01-11 23:00:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-11 23:15:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-11 23:30:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-11 23:45:00,0.001,0.0,0.001,0.07233333333333333,0.0,0.0
2024-01-12 00:00:00,0.001,0.0,0.001,0.237,0.0,0.0
2024-01-12 00:15:00,0.001,0.0,0.001,0.14833333333333334,0.0,0.0
2024-01-12 00:30:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-12 00:45:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-12 01:00:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-12 01:15:00,0.001,0.0,0.001,0.09766666666666665,0.0,1.2
2024-01-12 01:30:00,0.001,0.0,0.001,0.237,0.0,0.0
2024-01-12 01:45:00,0.001,0.0,0.001,0.123,0.0,0.0
2024-01-12 02:00:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-12 02:15:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-12 02:30:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-12 02:45:00,0.001,0.0,0.001,0.123,0.0,0.0
2024-01-12 03:00:00,0.001,0.0,0.001,0.237,0.0,0.0
2024-01-12 03:15:00,0.001,0.0,0.001,0.09766666666666665,0.0,0.0
2024-01-12 03:30:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-12 03:45:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-12 04:00:00,0.001,0.0,0.001,0.047,0.0,2.4
2024-01-12 04:15:00,0.001,0.0,0.001,0.14833333333333334,0.0,0.6
2024-01-12 04:30:00,0.001,0.0,0.001,0.237,0.0,0.0
2024-01-12 04:45:00,0.001,0.0,0.001,0.07233333333333333,0.0,0.0
2024-01-12 05:00:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-12 05:15:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-12 05:30:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-12 05:45:00,0.001,0.0,0.001,0.17366666666666666,0.0,0.0
2024-01-12 06:00:00,0.001,0.0,0.001,0.237,0.0,0.0
2024-01-12 06:15:00,0.001,0.0,0.001,0.047,0.0,2.2
2024-01-12 06:30:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-12 06:45:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-12 07:00:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-12 07:15:00,0.001,0.0,0.001,0.19899999999999998,0.0,0.0
2024-01-12 07:30:00,0.001,0.0,0.001,0.21166666666666664,0.0,0.0
2024-01-12 07:45:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-12 08:00:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-12 08:15:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-12 08:30:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-12 08:45:00,0.001,0.0,0.001,0.22433333333333333,0.0,0.0
2024-01-12 09:00:00,0.001,0.0,0.001,0.18633333333333332,0.0,0.0
2024-01-12 09:15:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-12 09:30:00,0.001,0.0,0.001,0.047,0.0,2.4
2024-01-12 09:45:00,0.001,0.0,0.001,0.047,0.0,0.8
2024-01-12 10:00:00,0.001,0.0,0.001,0.059666666666666666,0.0,0.0
2024-01-12 10:15:00,0.001,0.0,0.001,0.237,0.0,0.0
2024-01-12 10:30:00,0.001,0.0,0.001,0.161,0.0,0.0
2024-01-12 10:45:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-12 11:00:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-12 11:15:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-12 11:30:00,0.001,0.0,0.001,0.08499999999999999,0.0,0.0
2024-01-12 11:45:00,0.001,0.0,0.001,0.237,0.0,0.0
2024-01-12 12:00:00,0.001,0.0,0.001,0.13566666666666669,10.0,0.0
2024-01-12 12:15:00,0.001,0.0,0.001,0.047,2.0,0.0
